A	PROTO-CUNEIFORM SIGN A
|NUN~a+EN~b~v1|	PROTO-CUNEIFORM SIGN NUN-A JOINING EN-B VARIANT 1
|NUN~a+EN~d|	PROTO-CUNEIFORM SIGN NUN-A JOINING EN-D
|NUN~b+EN~a|	PROTO-CUNEIFORM SIGN NUN-B JOINING EN-A
|NUN~a+NAM₂|	PROTO-CUNEIFORM SIGN NUN-A JOINING NAM2
NUNUZ~a0	PROTO-CUNEIFORM SIGN NUNUZ-A0
NUNUZ~a1	PROTO-CUNEIFORM SIGN NUNUZ-A1
NUNUZ~a2	PROTO-CUNEIFORM SIGN NUNUZ-A2
NUNUZ~b1	PROTO-CUNEIFORM SIGN NUNUZ-B1
NUNUZ~b2	PROTO-CUNEIFORM SIGN NUNUZ-B2
NUNUZ~c	PROTO-CUNEIFORM SIGN NUNUZ-C
NUNUZ~c~v1	PROTO-CUNEIFORM SIGN NUNUZ-C VARIANT 1
NUNUZ~c~v2	PROTO-CUNEIFORM SIGN NUNUZ-C VARIANT 2
NUNUZ~c~v3	PROTO-CUNEIFORM SIGN NUNUZ-C VARIANT 3
NUNUZ~a1@t	PROTO-CUNEIFORM SIGN NUNUZ-A1 TENU
PA~a	PROTO-CUNEIFORM SIGN PA-A
PA~a~v1	PROTO-CUNEIFORM SIGN PA-A VARIANT 1
PA~a~v2	PROTO-CUNEIFORM SIGN PA-A VARIANT 2
PA~b	PROTO-CUNEIFORM SIGN PA-B
PA₃	PROTO-CUNEIFORM SIGN PA3
PAD~a	PROTO-CUNEIFORM SIGN PAD-A
PAD~b	PROTO-CUNEIFORM SIGN PAD-B
PAP~a	PROTO-CUNEIFORM SIGN PAP-A
PAP~b	PROTO-CUNEIFORM SIGN PAP-B
PAP~b~v1	PROTO-CUNEIFORM SIGN PAP-B VARIANT 1
PAP~a@t	PROTO-CUNEIFORM SIGN PAP-A TENU
PIRIG~a1	PROTO-CUNEIFORM SIGN PIRIG-A1
PIRIG~a2	PROTO-CUNEIFORM SIGN PIRIG-A2
PIRIG~a3	PROTO-CUNEIFORM SIGN PIRIG-A3
PIRIG~b1	PROTO-CUNEIFORM SIGN PIRIG-B1
PIRIG~b2	PROTO-CUNEIFORM SIGN PIRIG-B2
|PIRIG~b1×UR₂|	PROTO-CUNEIFORM SIGN PIRIG-B1 TIMES UR2
PU₂	PROTO-CUNEIFORM SIGN PU2
RA	PROTO-CUNEIFORM SIGN RA
RAD~a	PROTO-CUNEIFORM SIGN RAD-A
RAD~b	PROTO-CUNEIFORM SIGN RAD-B
RAD~a@g	PROTO-CUNEIFORM SIGN RAD-A GUNU
RAD~a@t	PROTO-CUNEIFORM SIGN RAD-A TENU
RI	PROTO-CUNEIFORM SIGN RI
RI~x	PROTO-CUNEIFORM SIGN RI x
RI₈~a	PROTO-CUNEIFORM SIGN RI8-A
RI₈~b	PROTO-CUNEIFORM SIGN RI8-B
RU	PROTO-CUNEIFORM SIGN RU
RU~v1	PROTO-CUNEIFORM SIGN RU VARIANT 1
RU@t	PROTO-CUNEIFORM SIGN RU TENU
SA~a	PROTO-CUNEIFORM SIGN SA-A
SA~c	PROTO-CUNEIFORM SIGN SA-C
SA~c~v1	PROTO-CUNEIFORM SIGN SA-C VARIANT 1
SAG	PROTO-CUNEIFORM SIGN SAG
SAG~v1	PROTO-CUNEIFORM SIGN SAG VARIANT 1
SAG~v2	PROTO-CUNEIFORM SIGN SAG VARIANT 2
|SAG×GEŠTU~a|	PROTO-CUNEIFORM SIGN SAG TIMES GESHTU-A
|SAG@n×GEŠTU~b|	PROTO-CUNEIFORM SIGN SAG NUTILLU TIMES GESHTU-B
|SAG~v1×GEŠTU~c|	PROTO-CUNEIFORM SIGN SAG VARIANT 1 TIMES GESHTU-C
|SAG~v2×GEŠTU~b|	PROTO-CUNEIFORM SIGN SAG VARIANT 2 TIMES GESHTU-B
|SAG~v1×LAM~c|	PROTO-CUNEIFORM SIGN SAG VARIANT 1 TIMES LAM-C
|SAG×SAR~a|	PROTO-CUNEIFORM SIGN SAG TIMES SAR-A
SAG@g	PROTO-CUNEIFORM SIGN SAG GUNU
SAG@n	PROTO-CUNEIFORM SIGN SAG NUTILLU
|SAG~v1×MA~v1|	PROTO-CUNEIFORM SIGN SAG VARIANT 1 TIMES MA VARIANT 1
|SAG~v1×1(N14)|	PROTO-CUNEIFORM SIGN SAG VARIANT 1 TIMES ONE-N14
SAGŠU	PROTO-CUNEIFORM SIGN SAGSHU
SAL	PROTO-CUNEIFORM SIGN SAL
|SAL.KUR~a|	PROTO-CUNEIFORM SIGN SAL BESIDE KUR-A
|SAL.LAM~b|	PROTO-CUNEIFORM SIGN SAL BESIDE LAM-B
|SAL.ŠU₂~b|	PROTO-CUNEIFORM SIGN SAL BESIDE SHU2-B
|SAL×1(N58)|	PROTO-CUNEIFORM SIGN SAL TIMES ONE-N58
SANGA~a	PROTO-CUNEIFORM SIGN SANGA-A
SANGA~a~v1	PROTO-CUNEIFORM SIGN SANGA-A VARIANT 1
SANGA~a~v2	PROTO-CUNEIFORM SIGN SANGA-A VARIANT 2
SANGA~b	PROTO-CUNEIFORM SIGN SANGA-B
SANGA~b~v1	PROTO-CUNEIFORM SIGN SANGA-B VARIANT 1
SANGA~c	PROTO-CUNEIFORM SIGN SANGA-C
SAR~a	PROTO-CUNEIFORM SIGN SAR-A
SAR~b	PROTO-CUNEIFORM SIGN SAR-B
SAR~c	PROTO-CUNEIFORM SIGN SAR-C
|SAR~a×ŠE~a|	PROTO-CUNEIFORM SIGN SAR-A TIMES SHE-A
SI	PROTO-CUNEIFORM SIGN SI
SI~v1	PROTO-CUNEIFORM SIGN SI VARIANT 1
|SI×GU₄|	PROTO-CUNEIFORM SIGN SI TIMES GU4
|SI×ŠE₃~v1|	PROTO-CUNEIFORM SIGN SI TIMES SHE3 VARIANT 1
SI₄~a	PROTO-CUNEIFORM SIGN SI4-A
SI₄~b	PROTO-CUNEIFORM SIGN SI4-B
SI₄~c	PROTO-CUNEIFORM SIGN SI4-C
SI₄~d	PROTO-CUNEIFORM SIGN SI4-D
SI₄~d~v1	PROTO-CUNEIFORM SIGN SI4-D VARIANT 1
SI₄~f	PROTO-CUNEIFORM SIGN SI4-F
SI₄~f~v1	PROTO-CUNEIFORM SIGN SI4-F VARIANT 1
SIG	PROTO-CUNEIFORM SIGN SIG
|SIG×1(N57)|	PROTO-CUNEIFORM SIGN SIG TIMES ONE-N57
SIG@g	PROTO-CUNEIFORM SIGN SIG GUNU
SIG₂~a1	PROTO-CUNEIFORM SIGN SIG2-A1
SIG₂~a2	PROTO-CUNEIFORM SIGN SIG2-A2
SIG₂~a3	PROTO-CUNEIFORM SIGN SIG2-A3
SIG₂~a3~v1	PROTO-CUNEIFORM SIGN SIG2-A3 VARIANT 1
SIG₂~a3~v2	PROTO-CUNEIFORM SIGN SIG2-A3 VARIANT 2
SIG₂~a4	PROTO-CUNEIFORM SIGN SIG2-A4
SIG₂~b	PROTO-CUNEIFORM SIGN SIG2-B
SIG₂~c1	PROTO-CUNEIFORM SIGN SIG2-C1
SIG₂~c2	PROTO-CUNEIFORM SIGN SIG2-C2
SIG₂~d1	PROTO-CUNEIFORM SIGN SIG2-D1
SIG₂~d2	PROTO-CUNEIFORM SIGN SIG2-D2
SIG₂~d2~v1	PROTO-CUNEIFORM SIGN SIG2-D2 VARIANT 1
SIG₂~d3	PROTO-CUNEIFORM SIGN SIG2-D3
SIG₂~d4	PROTO-CUNEIFORM SIGN SIG2-D4
SIG₂~e	PROTO-CUNEIFORM SIGN SIG2-E
|SIG₂~b×1(N14)|	PROTO-CUNEIFORM SIGN SIG2-B TIMES ONE-N14
|SIG₂~b&SIG₂~b|	PROTO-CUNEIFORM SIGN SIG2-B OVER SIG2-B
SIG₄	PROTO-CUNEIFORM SIGN SIG4
SIG₇	PROTO-CUNEIFORM SIGN SIG7
SIG₇~v1	PROTO-CUNEIFORM SIGN SIG7 VARIANT 1
SIKIL	PROTO-CUNEIFORM SIGN SIKIL
SILA₃~a	PROTO-CUNEIFORM SIGN SILA3-A
SILA₃~b	PROTO-CUNEIFORM SIGN SILA3-B
SILA₃~c	PROTO-CUNEIFORM SIGN SILA3-C
|SILA₃~a×A|	PROTO-CUNEIFORM SIGN SILA3-A TIMES A
|SILA₃~a×AMAR|	PROTO-CUNEIFORM SIGN SILA3-A TIMES AMAR
|SILA₃~a×DUG~a|~v1	PROTO-CUNEIFORM SIGN SILA3-A TIMES DUG-A VARIANT 1
|SILA₃~a×DUG~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES DUG-B
|SILA₃~a~v1×DUG~a|	PROTO-CUNEIFORM SIGN SILA3-A VARIANT 1 TIMES DUG-A
|SILA₃~b×DUG~a|	PROTO-CUNEIFORM SIGN SILA3-B TIMES DUG-A
|SILA₃~a×GA~a~v3|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GA-A VARIANT 3
|SILA₃~a×GARA₂~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GARA2-A
|SILA₃~a×GEŠTU~a~v2|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GESHTU-A VARIANT 2
|SILA₃~a×GEŠTU~c3|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GESHTU-C3
|SILA₃~a×GEŠTU~c5|	PROTO-CUNEIFORM SIGN SILA3-A TIMES GESHTU-C5
|SILA₃~b×GUG₂|	PROTO-CUNEIFORM SIGN SILA3-B TIMES GUG2
|SILA₃~a×HAŠHUR|	PROTO-CUNEIFORM SIGN SILA3-A TIMES HASHHUR
|SILA₃~a×HI|	PROTO-CUNEIFORM SIGN SILA3-A TIMES HI
|SILA₃~a×HI@g~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES HI GUNU-A
|SILA₃~a×IB~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES IB-A
|SILA₃~a×KAŠ~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-A
|SILA₃~a×KAŠ~c|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-C
|SILA₃~a×KAŠ~d|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KASH-D
|SILA₃~a×KU₆~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KU6-A
|SILA₃~a×KUR~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES KUR-A
|SILA₃~a×MA~v1|	PROTO-CUNEIFORM SIGN SILA3-A TIMES MA VARIANT 1
|SILA₃~a×MAŠ|	PROTO-CUNEIFORM SIGN SILA3-A TIMES MASH
|SILA₃~a×1(N57)|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ONE-N57
|SILA₃~a×1(N58)|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ONE-N58
|SILA₃~a×NAGA~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES NAGA-A
|SILA₃~b×NAGA~b|	PROTO-CUNEIFORM SIGN SILA3-B TIMES NAGA-B
|SILA₃~a×NI~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES NI-A
|SILA₃~b×NI~b|	PROTO-CUNEIFORM SIGN SILA3-B TIMES NI-B
|SILA₃~c×NI~a|	PROTO-CUNEIFORM SIGN SILA3-C TIMES NI-A
|SILA₃~d×NI~a|	PROTO-CUNEIFORM SIGN SILA3-D TIMES NI-A
|SILA₃~a×NUN~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES NUN-B
|SILA₃~a×SUHUR|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUHUR
|SILA₃~a×SUM~a~v1|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUM-A VARIANT 1
|SILA₃~a×SUM~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SUM-B
|SILA₃~a×ŠE~a|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHE-A
|SILA₃~a×ŠE~a@t|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHE-A TENU
|SILA₃~a×ŠU|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHU
|SILA₃~c×ŠU|	PROTO-CUNEIFORM SIGN SILA3-C TIMES SHU
|SILA₃~a×ŠU₂~b|	PROTO-CUNEIFORM SIGN SILA3-A TIMES SHU2-B
|SILA₃~a×X|	PROTO-CUNEIFORM SIGN SILA3-A TIMES X
|SILA₃~a×ZATU629~v1|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ZATU629 VARIANT 1
|SILA₃~a×ZATU646|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ZATU646
|SILA₃~a×(ZATU659.TU~c~v1)|	PROTO-CUNEIFORM SIGN SILA3-A TIMES ZATU659 PLUS TU-C VARIANT 1
|SILA₃~c×ZATU687|	PROTO-CUNEIFORM SIGN SILA3-C TIMES ZATU687
SILA₄~a	PROTO-CUNEIFORM SIGN SILA4-A
SILA₄~b	PROTO-CUNEIFORM SIGN SILA4-B
SILA₄~c	PROTO-CUNEIFORM SIGN SILA4-C
SILA₄~d	PROTO-CUNEIFORM SIGN SILA4-D
SILANITA	PROTO-CUNEIFORM SIGN SILANITA
SIMUG	PROTO-CUNEIFORM SIGN SIMUG
SIMUG~v1	PROTO-CUNEIFORM SIGN SIMUG VARIANT 1
SIPA	PROTO-CUNEIFORM SIGN SIPA
SU~a	PROTO-CUNEIFORM SIGN SU-A
SU~a~v1	PROTO-CUNEIFORM SIGN SU-A VARIANT 1
SU~b	PROTO-CUNEIFORM SIGN SU-B
|SU~a×1(N58)|	PROTO-CUNEIFORM SIGN SU-A TIMES ONE-N58
SU₃	PROTO-CUNEIFORM SIGN SU3
SUG	PROTO-CUNEIFORM SIGN SUG
SUG₅	PROTO-CUNEIFORM SIGN SUG5
SUH₃	PROTO-CUNEIFORM SIGN SUH3
SUHUR	PROTO-CUNEIFORM SIGN SUHUR
SUHUR@g	PROTO-CUNEIFORM SIGN SUHUR GUNU
SUHUR@n	PROTO-CUNEIFORM SIGN SUHUR NUTILLU
SUKKAL	PROTO-CUNEIFORM SIGN SUKKAL
SUKUD	PROTO-CUNEIFORM SIGN SUKUD
|(SUKUD+SUKUD)~a|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM A
|(SUKUD+SUKUD)~b|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM B
|(SUKUD+SUKUD)~c|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM C
|(SUKUD+SUKUD)~d|	PROTO-CUNEIFORM SIGN SUKUD JOINING SUKUD FORM D
SUKUD@g~a	PROTO-CUNEIFORM SIGN SUKUD GUNU-A
SUKUD@g~b	PROTO-CUNEIFORM SIGN SUKUD GUNU-B
SUKUD@g~b~v1	PROTO-CUNEIFORM SIGN SUKUD GUNU-B VARIANT 1
SUKUD@g~c	PROTO-CUNEIFORM SIGN SUKUD GUNU-C
SUKUD@g~d	PROTO-CUNEIFORM SIGN SUKUD GUNU-D
SUM~a	PROTO-CUNEIFORM SIGN SUM-A
SUM~a~v1	PROTO-CUNEIFORM SIGN SUM-A VARIANT 1
SUM~b	PROTO-CUNEIFORM SIGN SUM-B
SUM~a@t	PROTO-CUNEIFORM SIGN SUM-A TENU
SUMAŠ	PROTO-CUNEIFORM SIGN SUMASH
SUR	PROTO-CUNEIFORM SIGN SUR
SUSA	PROTO-CUNEIFORM SIGN SUSA
ŠA	PROTO-CUNEIFORM SIGN SHA
ŠA~v1	PROTO-CUNEIFORM SIGN SHA VARIANT 1
ŠA~v2	PROTO-CUNEIFORM SIGN SHA VARIANT 2
|(ŠA×HI@g~a)~a|	PROTO-CUNEIFORM SIGN SHA TIMES HI GUNU-A FORM A
|(ŠA×HI@g~a)~b|	PROTO-CUNEIFORM SIGN SHA TIMES HI GUNU-A FORM B
ŠA@g	PROTO-CUNEIFORM SIGN SHA GUNU
ŠA₃~a1	PROTO-CUNEIFORM SIGN SHA3-A1
ŠA₃~a2	PROTO-CUNEIFORM SIGN SHA3-A2
ŠA₃~b	PROTO-CUNEIFORM SIGN SHA3-B
ŠA₃~c	PROTO-CUNEIFORM SIGN SHA3-C
ŠA₃~d	PROTO-CUNEIFORM SIGN SHA3-D
ŠAB~a	PROTO-CUNEIFORM SIGN SHAB-A
ŠAB~a~v1	PROTO-CUNEIFORM SIGN SHAB-A VARIANT 1
ŠAB~b	PROTO-CUNEIFORM SIGN SHAB-B
ŠAB~b~v1	PROTO-CUNEIFORM SIGN SHAB-B VARIANT 1
ŠAGAN	PROTO-CUNEIFORM SIGN SHAGAN
ŠAGAN~v1	PROTO-CUNEIFORM SIGN SHAGAN VARIANT 1
ŠAGINA	PROTO-CUNEIFORM SIGN SHAGINA
ŠAH₂~a	PROTO-CUNEIFORM SIGN SHAH2-A
ŠAH₂~b	PROTO-CUNEIFORM SIGN SHAH2-B
ŠAH₂~c	PROTO-CUNEIFORM SIGN SHAH2-C
ŠAKIR~a	PROTO-CUNEIFORM SIGN SHAKIR-A
ŠAKIR~b	PROTO-CUNEIFORM SIGN SHAKIR-B
ŠAKIR~c	PROTO-CUNEIFORM SIGN SHAKIR-C
ŠAM₂	PROTO-CUNEIFORM SIGN SHAM2
ŠANDANA~a	PROTO-CUNEIFORM SIGN SHANDANA-A
ŠANDANA~b	PROTO-CUNEIFORM SIGN SHANDANA-B
ŠE~a	PROTO-CUNEIFORM SIGN SHE-A
ŠE~b	PROTO-CUNEIFORM SIGN SHE-B
ŠE~c	PROTO-CUNEIFORM SIGN SHE-C
|ŠE~a.KIN₂~c|	PROTO-CUNEIFORM SIGN SHE-A BESIDE KIN2-C
|ŠE~a.NAM₂|	PROTO-CUNEIFORM SIGN SHE-A BESIDE NAM2
|ŠE~a.NAM₂|~v1	PROTO-CUNEIFORM SIGN SHE-A BESIDE NAM2 VARIANT 1
|ŠE~a&ŠE~a|	PROTO-CUNEIFORM SIGN SHE-A OVER SHE-A
ŠE~a@t	PROTO-CUNEIFORM SIGN SHE-A TENU
ŠE₃	PROTO-CUNEIFORM SIGN SHE3
ŠE₃~v1	PROTO-CUNEIFORM SIGN SHE3 VARIANT 1
ŠE₃@t	PROTO-CUNEIFORM SIGN SHE3 TENU
ŠE₃@t~v1	PROTO-CUNEIFORM SIGN SHE3 TENU VARIANT 1
ŠEG₉	PROTO-CUNEIFORM SIGN SHEG9
ŠELU	PROTO-CUNEIFORM SIGN SHELU
ŠEN~a	PROTO-CUNEIFORM SIGN SHEN-A
ŠEN~a~v1	PROTO-CUNEIFORM SIGN SHEN-A VARIANT 1
ŠEN~b	PROTO-CUNEIFORM SIGN SHEN-B
ŠEN~b~v1	PROTO-CUNEIFORM SIGN SHEN-B VARIANT 1
ŠEN~c	PROTO-CUNEIFORM SIGN SHEN-C
ŠEN~d	PROTO-CUNEIFORM SIGN SHEN-D
ŠEN~d~v1	PROTO-CUNEIFORM SIGN SHEN-D VARIANT 1
ŠEN~d~v2	PROTO-CUNEIFORM SIGN SHEN-D VARIANT 2
ŠEN~e	PROTO-CUNEIFORM SIGN SHEN-E
|ŠEN~d×A|	PROTO-CUNEIFORM SIGN SHEN-D TIMES A
ŠEN~c@t	PROTO-CUNEIFORM SIGN SHEN-C TENU
ŠENNUR~a	PROTO-CUNEIFORM SIGN SHENNUR-A
ŠENNUR~b	PROTO-CUNEIFORM SIGN SHENNUR-B
ŠEŠ~a	PROTO-CUNEIFORM SIGN SHESH-A
ŠEŠ~a~v1	PROTO-CUNEIFORM SIGN SHESH-A VARIANT 1
ŠEŠ~b	PROTO-CUNEIFORM SIGN SHESH-B
ŠIDIM	PROTO-CUNEIFORM SIGN SHIDIM
ŠIDIM@t	PROTO-CUNEIFORM SIGN SHIDIM TENU
ŠIM~a	PROTO-CUNEIFORM SIGN SHIM-A
ŠIM~a~v1	PROTO-CUNEIFORM SIGN SHIM-A VARIANT 1
ŠIM~a~v2	PROTO-CUNEIFORM SIGN SHIM-A VARIANT 2
ŠIM~b	PROTO-CUNEIFORM SIGN SHIM-B
ŠIR~a	PROTO-CUNEIFORM SIGN SHIR-A
ŠIR~a~v1	PROTO-CUNEIFORM SIGN SHIR-A VARIANT 1
ŠIR~b	PROTO-CUNEIFORM SIGN SHIR-B
ŠIR~b~v1	PROTO-CUNEIFORM SIGN SHIR-B VARIANT 1
ŠIR~b~v2	PROTO-CUNEIFORM SIGN SHIR-B VARIANT 2
ŠITA~a1	PROTO-CUNEIFORM SIGN SHITA-A1
ŠITA~a2	PROTO-CUNEIFORM SIGN SHITA-A2
ŠITA~a3	PROTO-CUNEIFORM SIGN SHITA-A3
ŠITA~b1	PROTO-CUNEIFORM SIGN SHITA-B1
ŠITA~b2	PROTO-CUNEIFORM SIGN SHITA-B2
ŠITA~b3	PROTO-CUNEIFORM SIGN SHITA-B3
ŠITA~c	PROTO-CUNEIFORM SIGN SHITA-C
|ŠITA~b1@g×HI@g~a|	PROTO-CUNEIFORM SIGN SHITA-B1 GUNU TIMES HI GUNU-A
|ŠITA~a1×KAK~a|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES KAK-A
|ŠITA~a1×1(N06)|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES ONE-N6
|ŠITA~b3×NAM₂|	PROTO-CUNEIFORM SIGN SHITA-B3 TIMES NAM2
|ŠITA~a1×ŠU|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES SHU
|ŠITA~a1×ŠU₂~b|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES SHU2-B
|ŠITA~a1×UDU~a|	PROTO-CUNEIFORM SIGN SHITA-A1 TIMES UDU-A
ŠITA@g~a	PROTO-CUNEIFORM SIGN SHITA GUNU-A
ŠITA@g~a~v1	PROTO-CUNEIFORM SIGN SHITA GUNU-A VARIANT 1
ŠITA@g~b	PROTO-CUNEIFORM SIGN SHITA GUNU-B
|ŠITA@g~a×1(N04)|	PROTO-CUNEIFORM SIGN SHITA GUNU-A TIMES ONE-N4
|ŠITA@g~a×1(N06)|	PROTO-CUNEIFORM SIGN SHITA GUNU-A TIMES ONE-N6
ŠU	PROTO-CUNEIFORM SIGN SHU
|ŠU×1(N58)|	PROTO-CUNEIFORM SIGN SHU TIMES ONE-N58
|ŠU&ŠU|	PROTO-CUNEIFORM SIGN SHU OVER SHU
ŠU@g	PROTO-CUNEIFORM SIGN SHU GUNU
ŠU@s	PROTO-CUNEIFORM SIGN SHU SHESHIG
ŠU₂~a	PROTO-CUNEIFORM SIGN SHU2-A
ŠU₂~b	PROTO-CUNEIFORM SIGN SHU2-B
|ŠU₂~b.E₂~a|	PROTO-CUNEIFORM SIGN SHU2-B BESIDE E2-A
|ŠU₂~b.E₂~b|	PROTO-CUNEIFORM SIGN SHU2-B BESIDE E2-B
|ŠU₂~a.EN~a~v1|	PROTO-CUNEIFORM SIGN SHU2-A BESIDE EN-A VARIANT 1
|ŠU₂~a.EN~a~v2|	PROTO-CUNEIFORM SIGN SHU2-A BESIDE EN-A VARIANT 2
|ŠU₂~a.EN~b~v1|	PROTO-CUNEIFORM SIGN SHU2-A BESIDE EN-B VARIANT 1
|ŠU₂~a.URI₃~a~v1|	PROTO-CUNEIFORM SIGN SHU2-A BESIDE URI3-A VARIANT 1
ŠU₁₂	PROTO-CUNEIFORM SIGN SHU12
|ŠU₂~a.AN|	PROTO-CUNEIFORM SIGN SHU2-A BESIDE AN
|ŠU₂~a.(HI×1(N57))&(HI×1(N57))|	PROTO-CUNEIFORM SIGN SHU2-A BESIDE HI TIMES ONE-N57 OVER HI TIMES ONE-N57
|ŠU₂~b.GIŠ|	PROTO-CUNEIFORM SIGN SHU2-B BESIDE GISH
|ŠU₂~b.1(N02)|	PROTO-CUNEIFORM SIGN SHU2-B BESIDE ONE-N2
|ŠU₂~b.2(N57)|	PROTO-CUNEIFORM SIGN SHU2-B BESIDE TWO-N57
ŠUBUR	PROTO-CUNEIFORM SIGN SHUBUR
ŠUM	PROTO-CUNEIFORM SIGN SHUM
ŠUR₂~a	PROTO-CUNEIFORM SIGN SHUR2-A
ŠUR₂~b	PROTO-CUNEIFORM SIGN SHUR2-B
ŠURUPPAK~a	PROTO-CUNEIFORM SIGN SHURUPPAK-A
ŠURUPPAK~a~v1	PROTO-CUNEIFORM SIGN SHURUPPAK-A VARIANT 1
ŠURUPPAK~b	PROTO-CUNEIFORM SIGN SHURUPPAK-B
ŠURUPPAK~b~v1	PROTO-CUNEIFORM SIGN SHURUPPAK-B VARIANT 1
ŠURUPPAK~c	PROTO-CUNEIFORM SIGN SHURUPPAK-C
TA~a	PROTO-CUNEIFORM SIGN TA-A
TA~b	PROTO-CUNEIFORM SIGN TA-B
TA~c	PROTO-CUNEIFORM SIGN TA-C
TA~d	PROTO-CUNEIFORM SIGN TA-D
TA~e	PROTO-CUNEIFORM SIGN TA-E
TA~f	PROTO-CUNEIFORM SIGN TA-F
|TA~d×MAŠ|	PROTO-CUNEIFORM SIGN TA-D TIMES MASH
TAG~a1	PROTO-CUNEIFORM SIGN TAG-A1
TAG~a2	PROTO-CUNEIFORM SIGN TAG-A2
TAG~a3	PROTO-CUNEIFORM SIGN TAG-A3
TAG~a4	PROTO-CUNEIFORM SIGN TAG-A4
TAG~b	PROTO-CUNEIFORM SIGN TAG-B
TAG~c	PROTO-CUNEIFORM SIGN TAG-C
TAG~d	PROTO-CUNEIFORM SIGN TAG-D
TAG~a1@t	PROTO-CUNEIFORM SIGN TAG-A1 TENU
TAK₄~a	PROTO-CUNEIFORM SIGN TAK4-A
TAK₄~a~v1	PROTO-CUNEIFORM SIGN TAK4-A VARIANT 1
TAK₄~c	PROTO-CUNEIFORM SIGN TAK4-C
TAK₄~a@n	PROTO-CUNEIFORM SIGN TAK4-A NUTILLU
TAR~a	PROTO-CUNEIFORM SIGN TAR-A
TAR~d	PROTO-CUNEIFORM SIGN TAR-D
TE	PROTO-CUNEIFORM SIGN TE
TI	PROTO-CUNEIFORM SIGN TI
TI~v1	PROTO-CUNEIFORM SIGN TI VARIANT 1
TI@g	PROTO-CUNEIFORM SIGN TI GUNU
TI@r	PROTO-CUNEIFORM SIGN TI REVERSED
TI@t	PROTO-CUNEIFORM SIGN TI TENU
TIDNUM	PROTO-CUNEIFORM SIGN TIDNUM
TILLA₂	PROTO-CUNEIFORM SIGN TILLA2
TU~a	PROTO-CUNEIFORM SIGN TU-A
TU~b	PROTO-CUNEIFORM SIGN TU-B
TU~c	PROTO-CUNEIFORM SIGN TU-C
TUG₂~a	PROTO-CUNEIFORM SIGN TUG2-A
TUG₂~b	PROTO-CUNEIFORM SIGN TUG2-B
TUG₂~c	PROTO-CUNEIFORM SIGN TUG2-C
TUG₂~d	PROTO-CUNEIFORM SIGN TUG2-D
|TUG₂~a.(BAD&BAD)|	PROTO-CUNEIFORM SIGN TUG2-A BESIDE BAD OVER BAD
TUG₂~a@g	PROTO-CUNEIFORM SIGN TUG2-A GUNU
TUG₂~a@g~v1	PROTO-CUNEIFORM SIGN TUG2-A GUNU VARIANT 1
|TUG₂~a@g.(BAD&BAD)|	PROTO-CUNEIFORM SIGN TUG2-A GUNU BESIDE BAD OVER BAD
TUM~a	PROTO-CUNEIFORM SIGN TUM-A
TUM~b	PROTO-CUNEIFORM SIGN TUM-B
TUM~c	PROTO-CUNEIFORM SIGN TUM-C
TUM~d	PROTO-CUNEIFORM SIGN TUM-D
TUM~a@g	PROTO-CUNEIFORM SIGN TUM-A GUNU
TUN₃~a	PROTO-CUNEIFORM SIGN TUN3-A
TUN₃~b	PROTO-CUNEIFORM SIGN TUN3-B
TUN₃~c	PROTO-CUNEIFORM SIGN TUN3-C
TUR	PROTO-CUNEIFORM SIGN TUR
TUR~v1	PROTO-CUNEIFORM SIGN TUR VARIANT 1
TUR~v2	PROTO-CUNEIFORM SIGN TUR VARIANT 2
