id_text	accession_no	accounting_period	acquisition_history	alternative_years	ark_number	atf_source	atf_up	author	author_remarks	cdli_collation	cdli_comments	citation	collection	composite_id	condition_description	date_entered	date_of_origin	date_remarks	date_updated	dates_referenced	db_source	designation	dumb	dumb2	electronic_publication	elevation	excavation_no	external_id	findspot_remarks	findspot_square	genre	google_earth_collection	google_earth_provenience	height	id	id_text2	id_text_int	join_information	language	lineart_up	material	museum_no	object_preservation	object_type	period	period_remarks	photo_up	primary_publication	provenience	provenience_remarks	publication_date	publication_history	published_collation	seal_id	seal_information	stratigraphic_level	subgenre	subgenre_remarks	surface_preservation	text_remarks	thickness	translation_source	width	object_remarks
P472830						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006575 (physical)									Administrative				304648	0	472830				stone	Ashm 1929-0242		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006575 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0064		S006575			physical cylinder seal					no translation		physical	
P472831						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006576 (physical)									Administrative				304649	0	472831				stone	Ashm 1931-0191		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006576 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0065		S006576			physical cylinder seal					no translation		physical	
P472832						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006577 (physical)									Administrative				304650	0	472832				stone	Ashm 1928-0454		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006577 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0066		S006577			physical cylinder seal					no translation		physical	
P472833						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006578 (physical)									Administrative				304651	0	472833				stone	Ashm 1928-0453		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006578 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0067		S006578			physical cylinder seal					no translation		physical	
P472834						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006579 (physical)									Administrative				304652	0	472834				stone	Ashm 1932-0321		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006579 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0068		S006579			physical cylinder seal					no translation		physical	
P472835						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006580 (physical)									Administrative				304653	0	472835				stone	Ashm 1930-0099		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006580 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0069		S006580			physical cylinder seal					no translation		physical	
P472836						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006581 (physical)									Administrative				304654	0	472836				stone	Ashm 1932-0321		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006581 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0070		S006581			physical cylinder seal					no translation		physical	
P472837						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006582 (physical)									Administrative				304655	0	472837				stone	Ashm 1928-0575		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006582 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0071		S006582			physical cylinder seal					no translation		physical	
P472838						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006583 (physical)									Administrative				304656	0	472838				stone	Ashm 1949-0900		seal (not impression)	Uruk III (ca. 3200-3000 BC)		600ppi 20160913	CDLI Seals 006583 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0073		S006583			physical cylinder seal					no translation		physical	
P472839						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006584 (physical)									Administrative				304657	0	472839				stone	Ashm 1929-0266		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006584 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0074		S006584			physical cylinder seal					no translation		physical	
P472840						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006585 (physical)									Administrative				304658	0	472840				stone	Ashm 1930-0134		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006585 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0075		S006585			physical cylinder seal					no translation		physical	
P472841						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006586 (physical)									Administrative				304659	0	472841				stone	Ashm 1929-0290		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006586 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0076		S006586			physical cylinder seal					no translation		physical	
P472842						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006587 (physical)									Administrative				304660	0	472842				stone	Ashm 1929-0270		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006587 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0077		S006587			physical cylinder seal					no translation		physical	
P472843						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006588 (physical)									Administrative				304661	0	472843				stone	Ashm 1928-0575		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006588 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0078		S006588			physical cylinder seal					no translation		physical	
P472844						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006589 (physical)									Administrative				304662	0	472844				stone	Ashm 1932-0321		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006589 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0079		S006589			physical cylinder seal					no translation		physical	
P472845						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006590 (physical)									Administrative				304663	0	472845				stone	Ashm 1930-0128		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006590 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0080		S006590			physical cylinder seal					no translation		physical	
P472846						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006591 (physical)									Administrative				304664	0	472846				stone	Ashm 1929-0239		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006591 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0081		S006591			physical cylinder seal					no translation		physical	
P472847						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006592 (physical)									Administrative				304665	0	472847				stone	Ashm 1931-0072		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006592 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0082		S006592			physical cylinder seal					no translation		physical	
P472848						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006593 (physical)									Administrative				304666	0	472848				stone	Ashm 1929-0252		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006593 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0083		S006593			physical cylinder seal					no translation		physical	
P472849						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006594 (physical)									Administrative				304667	0	472849				stone	Ashm 1932-0321		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006594 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0084		S006594			physical cylinder seal					no translation		physical	
P472850						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006595 (physical)									Administrative				304668	0	472850				stone	Ashm 1930-0127		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006595 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0085		S006595			physical cylinder seal					no translation		physical	
P472851						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006596 (physical)									Administrative				304669	0	472851				stone	Ashm 1929-0251		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006596 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0086		S006596			physical cylinder seal					no translation		physical	
P472852						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006597 (physical)									Administrative				304670	0	472852				stone	Ashm 1928-0575		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006597 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0087		S006597			physical cylinder seal					no translation		physical	
P472853						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006598 (physical)									Administrative				304671	0	472853				stone	Ashm 1930-0091		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006598 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0088		S006598			physical cylinder seal					no translation		physical	
P472854						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006599 (physical)									Administrative				304672	0	472854				stone	Ashm 1930-0093		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006599 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0089		S006599			physical cylinder seal					no translation		physical	
P472855						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006600 (physical)									Administrative				304673	0	472855				stone	Ashm 1932-0321		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006600 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0090		S006600			physical cylinder seal					no translation		physical	
P472856						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006601 (physical)									Administrative				304674	0	472856				stone	Ashm 1925-0102		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006601 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0091		S006601			physical cylinder seal					no translation		physical	
P472857						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006602 (physical)									Administrative				304675	0	472857				stone	Ashm 1961-0533		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006602 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0092		S006602			physical cylinder seal					no translation		physical	
P472858						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006603 (physical)									Administrative				304676	0	472858				stone	Ashm 1931-0108		seal (not impression)	Uruk III (ca. 3200-3000 BC)		600ppi 20160913	CDLI Seals 006603 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0093		S006603			physical cylinder seal					no translation		physical	
P472859						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006604 (physical)									Administrative				304677	0	472859				stone	Ashm 1929-0256		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006604 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0094		S006604			physical cylinder seal					no translation		physical	
P472860						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006605 (physical)									Administrative				304678	0	472860				stone	Ashm 1929-0243		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006605 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0095		S006605			physical cylinder seal					no translation		physical	
P472861						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 006606 (physical)									Administrative				304679	0	472861				stone	Ashm 1909-1138		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 006606 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0096		S006606			physical cylinder seal					no translation		physical	
P473379						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007124 (physical)									Administrative				305197	0	473379				stone	Ashm 1889-0348		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007124 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0703		S007124			physical cylinder seal					no translation			
P473380						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007125 (physical)									Administrative				305198	0	473380				stone	Ashm 1913-0167		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007125 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0704		S007125			physical cylinder seal					no translation			
P473381						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007126 (physical)									Administrative				305199	0	473381				stone	Ashm 1913-0062		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007126 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0705		S007126			physical cylinder seal					no translation			
P473382						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007127 (physical)									Administrative				305200	0	473382				stone	Ashm 1913-0541		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007127 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0706		S007127			physical cylinder seal					no translation			
P473383						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007128 (physical)									Administrative				305201	0	473383				stone	Ashm 1895-0053		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007128 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0707		S007128			physical cylinder seal					no translation			
P473384						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007129 (physical)									Administrative				305202	0	473384				stone	Ashm 1920-0022		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007129 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0712		S007129			physical cylinder seal					no translation			
P473385						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007130 (physical)									Administrative				305203	0	473385				stone	Ashm 1914-0094		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007130 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0713		S007130			physical cylinder seal					no translation			
P473386						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007131 (physical)									Administrative				305204	0	473386				stone	Ashm 1894-0048		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007131 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0715		S007131			physical cylinder seal					no translation			
P473387						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007132 (physical)									Administrative				305205	0	473387				stone	Ashm 1894-0049		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007132 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0719		S007132			physical cylinder seal					no translation			
P473388						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007133 (physical)									Administrative				305206	0	473388				stone	Ashm 1895-0056		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007133 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0720		S007133			physical cylinder seal					no translation			
P473389						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007134 (physical)									Administrative				305207	0	473389				stone	Ashm 1909-1137		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007134 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0721		S007134			physical cylinder seal					no translation			
P473390						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007135 (physical)									Administrative				305208	0	473390				stone	Ashm 1921-1191		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007135 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0723		S007135			physical cylinder seal					no translation			
P473391						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007136 (physical)									Administrative				305209	0	473391				stone	Ashm 1913-0246		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007136 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0724		S007136			physical cylinder seal					no translation			
P473392						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007137 (physical)									Administrative				305210	0	473392				stone	Ashm 1921-1184		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007137 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0725		S007137			physical cylinder seal					no translation			
P473393						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007138 (physical)									Administrative				305211	0	473393				stone	Ashm 1914-0160		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007138 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0728		S007138			physical cylinder seal					no translation			
P473394						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007139 (physical)									Administrative				305212	0	473394				stone	Ashm 1889-0558b		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007139 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0729		S007139			physical cylinder seal					no translation			
P473395						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007140 (physical)									Administrative				305213	0	473395				stone	Ashm 1913-0758		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007140 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0730		S007140			physical cylinder seal					no translation			
P473396						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007141 (physical)									Administrative				305214	0	473396				stone	Ashm 1948-0562		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007141 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0731		S007141			physical cylinder seal					no translation			
P473397						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007142 (physical)									Administrative				305215	0	473397				stone	Ashm 1920-0023		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007142 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0732		S007142			physical cylinder seal					no translation			
P473398						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007143 (physical)									Administrative				305216	0	473398				stone	Ashm 1894-0047		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007143 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0733		S007143			physical cylinder seal					no translation			
P473399						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007144 (physical)									Administrative				305217	0	473399				stone	Ashm 1895-0049		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007144 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0735		S007144			physical cylinder seal					no translation			
P473400						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007145 (physical)									Administrative				305218	0	473400				stone	Ashm 1938-0081		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007145 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0736		S007145			physical cylinder seal					no translation			
P473401						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007146 (physical)									Administrative				305219	0	473401				stone	Ashm 1889-0344		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007146 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0740		S007146			physical cylinder seal					no translation			
P473402						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007147 (physical)									Administrative				305220	0	473402				stone	Ashm 1889-0307		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007147 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0741		S007147			physical cylinder seal					no translation			
P473403						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007148 (physical)									Administrative				305221	0	473403				stone	Ashm 1892-0802		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007148 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0742		S007148			physical cylinder seal					no translation			
P473404						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007149 (physical)									Administrative				305222	0	473404				stone	Ashm 1937-0752		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007149 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0743		S007149			physical cylinder seal					no translation			
P473405						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007150 (physical)									Administrative				305223	0	473405				stone	Ashm 1921-1213		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007150 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0744		S007150			physical cylinder seal					no translation			
P473406						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007151 (physical)									Administrative				305224	0	473406				stone	Ashm 1889-0715		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007151 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0745		S007151			physical cylinder seal					no translation			
P473407						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007152 (physical)									Administrative				305225	0	473407				stone	Ashm 1914-0159		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007152 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0746		S007152			physical cylinder seal					no translation			
P473408						no linguistic content		CDLI					Ashmolean Museum, Oxford, UK						10/21/2018		20150122 wagensonner	CDLI Seals 007153 (physical)									Administrative				305226	0	473408				stone	Ashm 1948-0566		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 007153 (physical)	uncertain (mod. uncertain)		2012ff.	Buchanan, Catalogue (1966) 0747		S007153			physical cylinder seal					no translation			
P475383						no linguistic content		CDLI					British Museum, London, UK						10/21/2018		20150127 wagensonner	CDLI Seals 008643 (physical)									Administrative				306706	0	475383				stone	BM 124406		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 008643 (physical)	uncertain (mod. uncertain)		2012ff.	Wiseman, WAS I (1962) Plate 06e		S008643			physical cylinder seal					no translation		physical	
P475384						no linguistic content		CDLI					British Museum, London, UK						10/21/2018		20150127 wagensonner	CDLI Seals 008644 (physical)									Administrative				306707	0	475384				stone	BM 105075		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 008644 (physical)	uncertain (mod. uncertain)		2012ff.	Wiseman, WAS I (1962) Plate 06f		S008644			physical cylinder seal					no translation		physical	
P475385						no linguistic content		CDLI					British Museum, London, UK						10/21/2018		20150127 wagensonner	CDLI Seals 008645 (physical)									Administrative				306708	0	475385				stone	BM 130709		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 008645 (physical)	uncertain (mod. uncertain)		2012ff.	Wiseman, WAS I (1962) Plate 06g		S008645			physical cylinder seal					no translation		physical	
P475386						no linguistic content		CDLI					British Museum, London, UK						10/21/2018		20150127 wagensonner	CDLI Seals 008646 (physical)									Administrative				306709	0	475386				stone	BM 122832		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 008646 (physical)	uncertain (mod. uncertain)		2012ff.	Wiseman, WAS I (1962) Plate 06h		S008646			physical cylinder seal					no translation		physical	
P475387						no linguistic content		CDLI					British Museum, London, UK						10/21/2018		20150127 wagensonner	CDLI Seals 008647 (physical)									Administrative				306710	0	475387				stone	BM 119312		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 008647 (physical)	uncertain (mod. uncertain)		2012ff.	Wiseman, WAS I (1962) Plate 06i		S008647			physical cylinder seal					no translation		physical	
P475388						no linguistic content		CDLI					British Museum, London, UK						10/21/2018		20150127 wagensonner	CDLI Seals 008648 (physical)									Administrative				306711	0	475388				stone	BM 089344		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 008648 (physical)	uncertain (mod. uncertain)		2012ff.	Wiseman, WAS I (1962) Plate 06j		S008648			physical cylinder seal					no translation		physical	
P475389						no linguistic content		CDLI					British Museum, London, UK						10/21/2018		20150127 wagensonner	CDLI Seals 008649 (physical)									Administrative				306712	0	475389				stone	BM 128864		seal (not impression)	Uruk III (ca. 3200-3000 BC)			CDLI Seals 008649 (physical)	uncertain (mod. uncertain)		2012ff.	Wiseman, WAS I (1962) Plate 06k		S008649			physical cylinder seal					no translation		physical	
