A	PROTO-CUNEIFORM SIGN A
UD₅~c	PROTO-CUNEIFORM SIGN UD5-C
UDU~a	PROTO-CUNEIFORM SIGN UDU-A
|UDU~a×TAR~a|	PROTO-CUNEIFORM SIGN UDU-A TIMES TAR-A
|UDU~a×TAR~b|	PROTO-CUNEIFORM SIGN UDU-A TIMES TAR-B
UDU~b	PROTO-CUNEIFORM SIGN UDU-B
UDU~c	PROTO-CUNEIFORM SIGN UDU-C
UDUNITA~a	PROTO-CUNEIFORM SIGN UDUNITA-A
UDUNITA~b	PROTO-CUNEIFORM SIGN UDUNITA-B
UDUNITA~c	PROTO-CUNEIFORM SIGN UDUNITA-C
UH	PROTO-CUNEIFORM SIGN UH
UH₃~a	PROTO-CUNEIFORM SIGN UH3-A
UH₃~a@t	PROTO-CUNEIFORM SIGN UH3-A TENU
UH₃~b	PROTO-CUNEIFORM SIGN UH3-B
UKKIN~a	PROTO-CUNEIFORM SIGN UKKIN-A
UKKIN~b	PROTO-CUNEIFORM SIGN UKKIN-B
|UKKIN~b×DIN|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DIN
|UKKIN~b×(DIN.1(N01))|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DIN PLUS ONE-N1
|UKKIN~b×DUG~a|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES DUG-A
|UKKIN~b×HI@g~a|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES HI GUNU-A
|UKKIN~b×NI~a|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES NI-A
|UKKIN~b×X|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES X
|UKKIN~b×2(N01)|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES TWO-N1
|UKKIN~b×3(N01)|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES THREE-N1
|UKKIN~b×5(N01)|	PROTO-CUNEIFORM SIGN UKKIN-B TIMES FIVE-N1
UKKIN~c	PROTO-CUNEIFORM SIGN UKKIN-C
UKKIN~d	PROTO-CUNEIFORM SIGN UKKIN-D
UMBIN~a	PROTO-CUNEIFORM SIGN UMBIN-A
UMBIN~b1	PROTO-CUNEIFORM SIGN UMBIN-B1
UMBIN~b2	PROTO-CUNEIFORM SIGN UMBIN-B2
UMBIN~c	PROTO-CUNEIFORM SIGN UMBIN-C
UMUN₂	PROTO-CUNEIFORM SIGN UMUN2
UNUG~a	PROTO-CUNEIFORM SIGN UNUG-A
|UNUG~a×A@t|	PROTO-CUNEIFORM SIGN UNUG-A TIMES A TENU
UNUG~a@s	PROTO-CUNEIFORM SIGN UNUG-A SHESHIG
UNUG~b	PROTO-CUNEIFORM SIGN UNUG-B
UNUG~c	PROTO-CUNEIFORM SIGN UNUG-C
UR~a	PROTO-CUNEIFORM SIGN UR-A
|UR~a×KAR₂~b|	PROTO-CUNEIFORM SIGN UR-A TIMES KAR2-B
UR~a@g	PROTO-CUNEIFORM SIGN UR-A GUNU
UR~b	PROTO-CUNEIFORM SIGN UR-B
UR~c	PROTO-CUNEIFORM SIGN UR-C
UR₂	PROTO-CUNEIFORM SIGN UR2
|UR₂×TAR~c|	PROTO-CUNEIFORM SIGN UR2 TIMES TAR-C
|UR₂×1(N57)|	PROTO-CUNEIFORM SIGN UR2 TIMES ONE-N57
UR₃~a1	PROTO-CUNEIFORM SIGN UR3-A1
UR₃~a2	PROTO-CUNEIFORM SIGN UR3-A2
UR₃~a3	PROTO-CUNEIFORM SIGN UR3-A3
UR₃~b1	PROTO-CUNEIFORM SIGN UR3-B1
|UR₃~b1×MAŠ|	PROTO-CUNEIFORM SIGN UR3-B1 TIMES MASH
UR₃~b2	PROTO-CUNEIFORM SIGN UR3-B2
UR₃~d2	PROTO-CUNEIFORM SIGN UR3-D2
UR₄~a	PROTO-CUNEIFORM SIGN UR4-A
UR₄~b	PROTO-CUNEIFORM SIGN UR4-B
UR₄~c	PROTO-CUNEIFORM SIGN UR4-C
UR₅~a	PROTO-CUNEIFORM SIGN UR5-A
UR₅~b	PROTO-CUNEIFORM SIGN UR5-B
URI	PROTO-CUNEIFORM SIGN URI
URI₂	PROTO-CUNEIFORM SIGN URI2
URI₃~a	PROTO-CUNEIFORM SIGN URI3-A
|URI₃~a+IB~a|	PROTO-CUNEIFORM SIGN URI3-A JOINING IB-A
URI₃~b	PROTO-CUNEIFORM SIGN URI3-B
URI₅	PROTO-CUNEIFORM SIGN URI5
URU~a1	PROTO-CUNEIFORM SIGN URU-A1
|URU~a1×A|	PROTO-CUNEIFORM SIGN URU-A1 TIMES A
|URU~a1×AMAR|	PROTO-CUNEIFORM SIGN URU-A1 TIMES AMAR
|URU~a1×GU₄|	PROTO-CUNEIFORM SIGN URU-A1 TIMES GU4
|URU~a1×HI@g~a|	PROTO-CUNEIFORM SIGN URU-A1 TIMES HI GUNU-A
|URU~a1×KI|	PROTO-CUNEIFORM SIGN URU-A1 TIMES KI
|URU~a1×NIMGIR|	PROTO-CUNEIFORM SIGN URU-A1 TIMES NIMGIR
|URU~a1×U₄|	PROTO-CUNEIFORM SIGN URU-A1 TIMES U4
|URU~a1×X|	PROTO-CUNEIFORM SIGN URU-A1 TIMES X
|URU~a1×1(N57)|	PROTO-CUNEIFORM SIGN URU-A1 TIMES ONE-N57
|URU~a1×2(N57)|	PROTO-CUNEIFORM SIGN URU-A1 TIMES TWO-N57
|URU~a1×3(N57)|	PROTO-CUNEIFORM SIGN URU-A1 TIMES THREE-N57
URU~a1@n	PROTO-CUNEIFORM SIGN URU-A1 NUTILLU
URU~a2	PROTO-CUNEIFORM SIGN URU-A2
|URU~a2×1(N58)|	PROTO-CUNEIFORM SIGN URU-A2 TIMES ONE-N58
|URU~a3×KALAM~a|	PROTO-CUNEIFORM SIGN URU-A3 TIMES KALAM-A
URU~b1	PROTO-CUNEIFORM SIGN URU-B1
URU~b2	PROTO-CUNEIFORM SIGN URU-B2
URU~c	PROTO-CUNEIFORM SIGN URU-C
URUDU~a	PROTO-CUNEIFORM SIGN URUDU-A
URUDU~c	PROTO-CUNEIFORM SIGN URUDU-C
URUDU~d	PROTO-CUNEIFORM SIGN URUDU-D
URUDU@g~a	PROTO-CUNEIFORM SIGN URUDU GUNU-A
URUDU@g~b	PROTO-CUNEIFORM SIGN URUDU GUNU-B
URUDU@g~c	PROTO-CUNEIFORM SIGN URUDU GUNU-C
URUDU@g~d	PROTO-CUNEIFORM SIGN URUDU GUNU-D
UŠ~a	PROTO-CUNEIFORM SIGN USH-A
|UŠ~a&UŠ~a|	PROTO-CUNEIFORM SIGN USH-A OVER USH-A
UŠ~b	PROTO-CUNEIFORM SIGN USH-B
|UŠ~b×TAR~c|	PROTO-CUNEIFORM SIGN USH-B TIMES TAR-C
|UŠ~b×TAR~d|	PROTO-CUNEIFORM SIGN USH-B TIMES TAR-D
|UŠ~b&UŠ~b|	PROTO-CUNEIFORM SIGN USH-B OVER USH-B
UŠUMGAL	PROTO-CUNEIFORM SIGN USHUMGAL
UŠUR₃~a	PROTO-CUNEIFORM SIGN USHUR3-A
UŠUR₃~b1	PROTO-CUNEIFORM SIGN USHUR3-B1
UŠUR₃~b2	PROTO-CUNEIFORM SIGN USHUR3-B2
UTUA~a	PROTO-CUNEIFORM SIGN UTUA-A
UTUA~a@t	PROTO-CUNEIFORM SIGN UTUA-A TENU
UTUA~b	PROTO-CUNEIFORM SIGN UTUA-B
UTUL~a	PROTO-CUNEIFORM SIGN UTUL-A
UTUL~b	PROTO-CUNEIFORM SIGN UTUL-B
UTUL~c	PROTO-CUNEIFORM SIGN UTUL-C
UTUL~d	PROTO-CUNEIFORM SIGN UTUL-D
UZ~a	PROTO-CUNEIFORM SIGN UZ-A
UZU	PROTO-CUNEIFORM SIGN UZU
X₂	PROTO-CUNEIFORM SIGN X2
ZA~v	PROTO-CUNEIFORM SIGN ZA-V
ZABALAM~a	PROTO-CUNEIFORM SIGN ZABALAM-A
ZABALAM~b	PROTO-CUNEIFORM SIGN ZABALAM-B
ZADIM	PROTO-CUNEIFORM SIGN ZADIM
ZAG~a	PROTO-CUNEIFORM SIGN ZAG-A
ZAG~b	PROTO-CUNEIFORM SIGN ZAG-B
ZAG~c	PROTO-CUNEIFORM SIGN ZAG-C
ZAR~a	PROTO-CUNEIFORM SIGN ZAR-A
ZAR~b1	PROTO-CUNEIFORM SIGN ZAR-B1
ZAR~b2	PROTO-CUNEIFORM SIGN ZAR-B2
ZAR~c	PROTO-CUNEIFORM SIGN ZAR-C
ZATU620	PROTO-CUNEIFORM SIGN ZATU620
ZATU621~a	PROTO-CUNEIFORM SIGN ZATU621~a
ZATU621~b	PROTO-CUNEIFORM SIGN ZATU621~b
ZATU621~c	PROTO-CUNEIFORM SIGN ZATU621~c
ZATU621~d	PROTO-CUNEIFORM SIGN ZATU621~d
ZATU622	PROTO-CUNEIFORM SIGN ZATU622
ZATU623	PROTO-CUNEIFORM SIGN ZATU623
ZATU624~a	PROTO-CUNEIFORM SIGN ZATU624~a
ZATU624~b	PROTO-CUNEIFORM SIGN ZATU624~b
ZATU624~c	PROTO-CUNEIFORM SIGN ZATU624~c
ZATU625	PROTO-CUNEIFORM SIGN ZATU625
ZATU626~a	PROTO-CUNEIFORM SIGN ZATU626~a
ZATU626~b	PROTO-CUNEIFORM SIGN ZATU626~b
ZATU626~c	PROTO-CUNEIFORM SIGN ZATU626~c
ZATU627	PROTO-CUNEIFORM SIGN ZATU627
ZATU628~a	PROTO-CUNEIFORM SIGN ZATU628~a
ZATU628~b	PROTO-CUNEIFORM SIGN ZATU628~b
ZATU629	PROTO-CUNEIFORM SIGN ZATU629
ZATU630	PROTO-CUNEIFORM SIGN ZATU630
ZATU631	PROTO-CUNEIFORM SIGN ZATU631
ZATU632~a	PROTO-CUNEIFORM SIGN ZATU632~a
ZATU632~b	PROTO-CUNEIFORM SIGN ZATU632~b
ZATU632~c	PROTO-CUNEIFORM SIGN ZATU632~c
ZATU633~a	PROTO-CUNEIFORM SIGN ZATU633~a
ZATU633~b	PROTO-CUNEIFORM SIGN ZATU633~b
ZATU634	PROTO-CUNEIFORM SIGN ZATU634
ZATU635	PROTO-CUNEIFORM SIGN ZATU635
ZATU636	PROTO-CUNEIFORM SIGN ZATU636
ZATU637	PROTO-CUNEIFORM SIGN ZATU637
ZATU639	PROTO-CUNEIFORM SIGN ZATU639
ZATU640	PROTO-CUNEIFORM SIGN ZATU640
ZATU641	PROTO-CUNEIFORM SIGN ZATU641
ZATU642	PROTO-CUNEIFORM SIGN ZATU642
ZATU643	PROTO-CUNEIFORM SIGN ZATU643
ZATU644~a	PROTO-CUNEIFORM SIGN ZATU644~a
|ZATU644~a×1(N14)|	PROTO-CUNEIFORM SIGN ZATU644-A TIMES ONE-N14
ZATU644~b	PROTO-CUNEIFORM SIGN ZATU644~b
ZATU646	PROTO-CUNEIFORM SIGN ZATU646
ZATU647	PROTO-CUNEIFORM SIGN ZATU647
ZATU648	PROTO-CUNEIFORM SIGN ZATU648
ZATU649	PROTO-CUNEIFORM SIGN ZATU649
ZATU650	PROTO-CUNEIFORM SIGN ZATU650
ZATU651	PROTO-CUNEIFORM SIGN ZATU651
|ZATU651×AN|	PROTO-CUNEIFORM SIGN ZATU651 TIMES AN
|ZATU651×EN~a|	PROTO-CUNEIFORM SIGN ZATU651 TIMES EN-A
|ZATU651×GAR|	PROTO-CUNEIFORM SIGN ZATU651 TIMES GAR
|ZATU651×MA|	PROTO-CUNEIFORM SIGN ZATU651 TIMES MA
|ZATU651×NUN~a|	PROTO-CUNEIFORM SIGN ZATU651 TIMES NUN-A
|ZATU651×ŠE~a|	PROTO-CUNEIFORM SIGN ZATU651 TIMES SHE-A
|ZATU651×X|	PROTO-CUNEIFORM SIGN ZATU651 TIMES X
|ZATU651×ZAR~c|	PROTO-CUNEIFORM SIGN ZATU651 TIMES ZAR-C
ZATU651@g	PROTO-CUNEIFORM SIGN ZATU651@g
ZATU659	PROTO-CUNEIFORM SIGN ZATU659
|ZATU659×1(N01)|	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N1
|ZATU659×1(N14)|	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N14
|ZATU659×1(N58@t)|	PROTO-CUNEIFORM SIGN ZATU659 TIMES ONE-N58 TENU
ZATU659@t	PROTO-CUNEIFORM SIGN ZATU659@t
ZATU662	PROTO-CUNEIFORM SIGN ZATU662
|ZATU662×1(N14)|	PROTO-CUNEIFORM SIGN ZATU662 TIMES ONE-N14
ZATU664	PROTO-CUNEIFORM SIGN ZATU664
ZATU665	PROTO-CUNEIFORM SIGN ZATU665
ZATU666	PROTO-CUNEIFORM SIGN ZATU666
ZATU667	PROTO-CUNEIFORM SIGN ZATU667
ZATU668	PROTO-CUNEIFORM SIGN ZATU668
ZATU669	PROTO-CUNEIFORM SIGN ZATU669
ZATU670	PROTO-CUNEIFORM SIGN ZATU670
ZATU672	PROTO-CUNEIFORM SIGN ZATU672
ZATU674	PROTO-CUNEIFORM SIGN ZATU674
ZATU675~a	PROTO-CUNEIFORM SIGN ZATU675~a
ZATU675~b	PROTO-CUNEIFORM SIGN ZATU675~b
ZATU675~c	PROTO-CUNEIFORM SIGN ZATU675~c
ZATU675~d	PROTO-CUNEIFORM SIGN ZATU675~d
ZATU676~a	PROTO-CUNEIFORM SIGN ZATU676~a
ZATU676~b	PROTO-CUNEIFORM SIGN ZATU676~b
ZATU677~a	PROTO-CUNEIFORM SIGN ZATU677~a
ZATU677~b	PROTO-CUNEIFORM SIGN ZATU677~b
ZATU678	PROTO-CUNEIFORM SIGN ZATU678
ZATU679	PROTO-CUNEIFORM SIGN ZATU679
ZATU680~a1	PROTO-CUNEIFORM SIGN ZATU680~a1
ZATU680~a2	PROTO-CUNEIFORM SIGN ZATU680~a2
ZATU680~b	PROTO-CUNEIFORM SIGN ZATU680~b
ZATU680~d	PROTO-CUNEIFORM SIGN ZATU680~d
ZATU680~e	PROTO-CUNEIFORM SIGN ZATU680~e
ZATU681	PROTO-CUNEIFORM SIGN ZATU681
ZATU682	PROTO-CUNEIFORM SIGN ZATU682
ZATU683~a	PROTO-CUNEIFORM SIGN ZATU683~a
ZATU683~b	PROTO-CUNEIFORM SIGN ZATU683~b
ZATU683@t	PROTO-CUNEIFORM SIGN ZATU683@t
ZATU684	PROTO-CUNEIFORM SIGN ZATU684
ZATU685	PROTO-CUNEIFORM SIGN ZATU685
ZATU686~a	PROTO-CUNEIFORM SIGN ZATU686~a
ZATU686~b	PROTO-CUNEIFORM SIGN ZATU686~b
ZATU686~c	PROTO-CUNEIFORM SIGN ZATU686~c
ZATU687	PROTO-CUNEIFORM SIGN ZATU687
ZATU688~a	PROTO-CUNEIFORM SIGN ZATU688~a
ZATU688~b	PROTO-CUNEIFORM SIGN ZATU688~b
ZATU689	PROTO-CUNEIFORM SIGN ZATU689
ZATU690	PROTO-CUNEIFORM SIGN ZATU690
ZATU691	PROTO-CUNEIFORM SIGN ZATU691
ZATU692	PROTO-CUNEIFORM SIGN ZATU692
ZATU693	PROTO-CUNEIFORM SIGN ZATU693
ZATU693@t	PROTO-CUNEIFORM SIGN ZATU693@t
ZATU694~a	PROTO-CUNEIFORM SIGN ZATU694~a
ZATU694~b	PROTO-CUNEIFORM SIGN ZATU694~b
ZATU694~c	PROTO-CUNEIFORM SIGN ZATU694~c
ZATU694~d	PROTO-CUNEIFORM SIGN ZATU694~d
ZATU694~d@t	PROTO-CUNEIFORM SIGN ZATU694~d@t
ZATU694~e	PROTO-CUNEIFORM SIGN ZATU694~e
ZATU695	PROTO-CUNEIFORM SIGN ZATU695
ZATU696	PROTO-CUNEIFORM SIGN ZATU696
ZATU697~a	PROTO-CUNEIFORM SIGN ZATU697~a
ZATU697~b	PROTO-CUNEIFORM SIGN ZATU697~b
ZATU697~c	PROTO-CUNEIFORM SIGN ZATU697~c
ZATU699~a	PROTO-CUNEIFORM SIGN ZATU699~a
ZATU699~b	PROTO-CUNEIFORM SIGN ZATU699~b
ZATU700	PROTO-CUNEIFORM SIGN ZATU700
ZATU701	PROTO-CUNEIFORM SIGN ZATU701
ZATU702	PROTO-CUNEIFORM SIGN ZATU702
ZATU703	PROTO-CUNEIFORM SIGN ZATU703
ZATU704	PROTO-CUNEIFORM SIGN ZATU704
ZATU705	PROTO-CUNEIFORM SIGN ZATU705
ZATU706	PROTO-CUNEIFORM SIGN ZATU706
ZATU707~a	PROTO-CUNEIFORM SIGN ZATU707~a
ZATU707~b	PROTO-CUNEIFORM SIGN ZATU707~b
ZATU708	PROTO-CUNEIFORM SIGN ZATU708
ZATU709	PROTO-CUNEIFORM SIGN ZATU709
ZATU710	PROTO-CUNEIFORM SIGN ZATU710
ZATU711	PROTO-CUNEIFORM SIGN ZATU711
|ZATU711×HI@g~a|	PROTO-CUNEIFORM SIGN ZATU711 TIMES HI GUNU-A
|ZATU711×X|	PROTO-CUNEIFORM SIGN ZATU711 TIMES X
ZATU713	PROTO-CUNEIFORM SIGN ZATU713
ZATU714	PROTO-CUNEIFORM SIGN ZATU714
|ZATU714.RU|	PROTO-CUNEIFORM SIGN ZATU714 BESIDE RU
|ZATU714×HI@g~a|	PROTO-CUNEIFORM SIGN ZATU714 TIMES HI GUNU-A
|ZATU714×X|	PROTO-CUNEIFORM SIGN ZATU714 TIMES X
ZATU717	PROTO-CUNEIFORM SIGN ZATU717
ZATU718	PROTO-CUNEIFORM SIGN ZATU718
ZATU719	PROTO-CUNEIFORM SIGN ZATU719
ZATU720	PROTO-CUNEIFORM SIGN ZATU720
ZATU721	PROTO-CUNEIFORM SIGN ZATU721
ZATU722	PROTO-CUNEIFORM SIGN ZATU722
ZATU723	PROTO-CUNEIFORM SIGN ZATU723
ZATU724	PROTO-CUNEIFORM SIGN ZATU724
ZATU725	PROTO-CUNEIFORM SIGN ZATU725
ZATU726~a	PROTO-CUNEIFORM SIGN ZATU726~a
ZATU726~c	PROTO-CUNEIFORM SIGN ZATU726~c
ZATU726~d	PROTO-CUNEIFORM SIGN ZATU726~d
ZATU727	PROTO-CUNEIFORM SIGN ZATU727
ZATU728	PROTO-CUNEIFORM SIGN ZATU728
ZATU729	PROTO-CUNEIFORM SIGN ZATU729
ZATU730	PROTO-CUNEIFORM SIGN ZATU730
ZATU732	PROTO-CUNEIFORM SIGN ZATU732
ZATU733	PROTO-CUNEIFORM SIGN ZATU733
ZATU734	PROTO-CUNEIFORM SIGN ZATU734
ZATU735~a	PROTO-CUNEIFORM SIGN ZATU735~a
ZATU735~b	PROTO-CUNEIFORM SIGN ZATU735~b
ZATU735~c	PROTO-CUNEIFORM SIGN ZATU735~c
ZATU736~a	PROTO-CUNEIFORM SIGN ZATU736~a
ZATU736~b	PROTO-CUNEIFORM SIGN ZATU736~b
ZATU737	PROTO-CUNEIFORM SIGN ZATU737
|ZATU737×AB~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES AB-A
|ZATU737×BU~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES BU-A
|ZATU737×BUR~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES BUR-A
|ZATU737×DI|	PROTO-CUNEIFORM SIGN ZATU737 TIMES DI
|ZATU737×E~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES E-A
|ZATU737×EN~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES EN-A
|ZATU737×EN~b|	PROTO-CUNEIFORM SIGN ZATU737 TIMES EN-B
|ZATU737×GAR|	PROTO-CUNEIFORM SIGN ZATU737 TIMES GAR
|ZATU737×I|	PROTO-CUNEIFORM SIGN ZATU737 TIMES I
|ZATU737×NI~a@g|	PROTO-CUNEIFORM SIGN ZATU737 TIMES NI-A GUNU
|ZATU737×NIMGIR|	PROTO-CUNEIFORM SIGN ZATU737 TIMES NIMGIR
|ZATU737×SAL|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SAL
|ZATU737×SU~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SU-A
|ZATU737×ŠE~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHE-A
|ZATU737×ŠITA~a1|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHITA-A1
|ZATU737×ŠITA~b1@g|	PROTO-CUNEIFORM SIGN ZATU737 TIMES SHITA-B1 GUNU
|ZATU737×U₄|	PROTO-CUNEIFORM SIGN ZATU737 TIMES U4
|ZATU737×UNUG~a|	PROTO-CUNEIFORM SIGN ZATU737 TIMES UNUG-A
|ZATU737×X|	PROTO-CUNEIFORM SIGN ZATU737 TIMES X
|ZATU737@t×PAP~a|	PROTO-CUNEIFORM SIGN ZATU737 TENU TIMES PAP-A
ZATU749~a	PROTO-CUNEIFORM SIGN ZATU749~a
ZATU749~b	PROTO-CUNEIFORM SIGN ZATU749~b
ZATU749~c	PROTO-CUNEIFORM SIGN ZATU749~c
ZATU750	PROTO-CUNEIFORM SIGN ZATU750
ZATU751~a	PROTO-CUNEIFORM SIGN ZATU751~a
ZATU751~b	PROTO-CUNEIFORM SIGN ZATU751~b
ZATU751~c	PROTO-CUNEIFORM SIGN ZATU751~c
ZATU752	PROTO-CUNEIFORM SIGN ZATU752
ZATU753	PROTO-CUNEIFORM SIGN ZATU753
ZATU754	PROTO-CUNEIFORM SIGN ZATU754
ZATU755~a	PROTO-CUNEIFORM SIGN ZATU755~a
ZATU755~b	PROTO-CUNEIFORM SIGN ZATU755~b
ZATU756	PROTO-CUNEIFORM SIGN ZATU756
ZATU757	PROTO-CUNEIFORM SIGN ZATU757
ZATU758	PROTO-CUNEIFORM SIGN ZATU758
ZATU759	PROTO-CUNEIFORM SIGN ZATU759
|ZATU759×KU₆~a|	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-A
|ZATU759×(KU₆~a+KU₆~a)|	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-A JOINING KU6-A
|ZATU759×KU₆~d|	PROTO-CUNEIFORM SIGN ZATU759 TIMES KU6-D
|ZATU759×X|	PROTO-CUNEIFORM SIGN ZATU759 TIMES X
|ZATU759@t×X|	PROTO-CUNEIFORM SIGN ZATU759 TENU TIMES X
ZATU761	PROTO-CUNEIFORM SIGN ZATU761
ZATU762~a	PROTO-CUNEIFORM SIGN ZATU762~a
|ZATU762~a×NIM~a|	PROTO-CUNEIFORM SIGN ZATU762-A TIMES NIM-A
ZATU762~b	PROTO-CUNEIFORM SIGN ZATU762~b
|ZATU762~b×AB~a|	PROTO-CUNEIFORM SIGN ZATU762-B TIMES AB-A
ZATU764	PROTO-CUNEIFORM SIGN ZATU764
ZATU765	PROTO-CUNEIFORM SIGN ZATU765
ZATU766	PROTO-CUNEIFORM SIGN ZATU766
ZATU767	PROTO-CUNEIFORM SIGN ZATU767
ZATU768	PROTO-CUNEIFORM SIGN ZATU768
ZATU769	PROTO-CUNEIFORM SIGN ZATU769
ZATU771	PROTO-CUNEIFORM SIGN ZATU771
ZATU772	PROTO-CUNEIFORM SIGN ZATU772
ZATU773~a	PROTO-CUNEIFORM SIGN ZATU773~a
ZATU773~b	PROTO-CUNEIFORM SIGN ZATU773~b
ZATU774	PROTO-CUNEIFORM SIGN ZATU774
ZATU775	PROTO-CUNEIFORM SIGN ZATU775
ZATU776	PROTO-CUNEIFORM SIGN ZATU776
ZATU777	PROTO-CUNEIFORM SIGN ZATU777
ZATU778	PROTO-CUNEIFORM SIGN ZATU778
ZATU779	PROTO-CUNEIFORM SIGN ZATU779
ZATU780	PROTO-CUNEIFORM SIGN ZATU780
ZATU781	PROTO-CUNEIFORM SIGN ZATU781
ZATU782	PROTO-CUNEIFORM SIGN ZATU782
ZATU783	PROTO-CUNEIFORM SIGN ZATU783
ZATU784	PROTO-CUNEIFORM SIGN ZATU784
ZATU785	PROTO-CUNEIFORM SIGN ZATU785
ZATU786	PROTO-CUNEIFORM SIGN ZATU786
ZATU787	PROTO-CUNEIFORM SIGN ZATU787
ZATU788	PROTO-CUNEIFORM SIGN ZATU788
ZATU789	PROTO-CUNEIFORM SIGN ZATU789
ZATU791	PROTO-CUNEIFORM SIGN ZATU791
ZATU792	PROTO-CUNEIFORM SIGN ZATU792
ZATU795	PROTO-CUNEIFORM SIGN ZATU795
ZATU797	PROTO-CUNEIFORM SIGN ZATU797
ZATU798	PROTO-CUNEIFORM SIGN ZATU798
ZATU799	PROTO-CUNEIFORM SIGN ZATU799
ZATU800	PROTO-CUNEIFORM SIGN ZATU800
ZATU801	PROTO-CUNEIFORM SIGN ZATU801
ZATU802	PROTO-CUNEIFORM SIGN ZATU802
ZATU802~b	PROTO-CUNEIFORM SIGN ZATU802~b
ZATU803	PROTO-CUNEIFORM SIGN ZATU803
ZATU804	PROTO-CUNEIFORM SIGN ZATU804
ZATU805	PROTO-CUNEIFORM SIGN ZATU805
ZATU806	PROTO-CUNEIFORM SIGN ZATU806
ZATU807	PROTO-CUNEIFORM SIGN ZATU807
ZATU808	PROTO-CUNEIFORM SIGN ZATU808
ZATU809	PROTO-CUNEIFORM SIGN ZATU809
ZATU810	PROTO-CUNEIFORM SIGN ZATU810
ZATU811	PROTO-CUNEIFORM SIGN ZATU811
ZATU812	PROTO-CUNEIFORM SIGN ZATU812
ZATU813	PROTO-CUNEIFORM SIGN ZATU813
ZATU814	PROTO-CUNEIFORM SIGN ZATU814
ZATU815	PROTO-CUNEIFORM SIGN ZATU815
ZATU817	PROTO-CUNEIFORM SIGN ZATU817
ZATU818	PROTO-CUNEIFORM SIGN ZATU818
ZATU819	PROTO-CUNEIFORM SIGN ZATU819
ZATU820	PROTO-CUNEIFORM SIGN ZATU820
ZATU821	PROTO-CUNEIFORM SIGN ZATU821
ZATU822	PROTO-CUNEIFORM SIGN ZATU822
ZATU823	PROTO-CUNEIFORM SIGN ZATU823
ZATU824	PROTO-CUNEIFORM SIGN ZATU824
ZATU825	PROTO-CUNEIFORM SIGN ZATU825
ZATU826	PROTO-CUNEIFORM SIGN ZATU826
ZATU829	PROTO-CUNEIFORM SIGN ZATU829
ZATU831	PROTO-CUNEIFORM SIGN ZATU831
ZATU831@g	PROTO-CUNEIFORM SIGN ZATU831@g
ZATU832	PROTO-CUNEIFORM SIGN ZATU832
ZATU833	PROTO-CUNEIFORM SIGN ZATU833
ZATU834	PROTO-CUNEIFORM SIGN ZATU834
ZATU835	PROTO-CUNEIFORM SIGN ZATU835
ZATU836	PROTO-CUNEIFORM SIGN ZATU836
ZATU837~a	PROTO-CUNEIFORM SIGN ZATU837~a
ZATU837~b	PROTO-CUNEIFORM SIGN ZATU837~b
ZATU838	PROTO-CUNEIFORM SIGN ZATU838
ZATU839	PROTO-CUNEIFORM SIGN ZATU839
ZATU840	PROTO-CUNEIFORM SIGN ZATU840
ZATU841	PROTO-CUNEIFORM SIGN ZATU841
ZATU842	PROTO-CUNEIFORM SIGN ZATU842
ZATU843	PROTO-CUNEIFORM SIGN ZATU843
ZATU844	PROTO-CUNEIFORM SIGN ZATU844
ZATU845	PROTO-CUNEIFORM SIGN ZATU845
ZATU846	PROTO-CUNEIFORM SIGN ZATU846
ZATU847	PROTO-CUNEIFORM SIGN ZATU847
ZATU848	PROTO-CUNEIFORM SIGN ZATU848
ZATU849	PROTO-CUNEIFORM SIGN ZATU849
ZATU850	PROTO-CUNEIFORM SIGN ZATU850
ZATU851	PROTO-CUNEIFORM SIGN ZATU851
ZATU852	PROTO-CUNEIFORM SIGN ZATU852
ZATU853	PROTO-CUNEIFORM SIGN ZATU853
ZATU854	PROTO-CUNEIFORM SIGN ZATU854
ZATU855	PROTO-CUNEIFORM SIGN ZATU855
ZATU856	PROTO-CUNEIFORM SIGN ZATU856
ZATU857	PROTO-CUNEIFORM SIGN ZATU857
ZATU858	PROTO-CUNEIFORM SIGN ZATU858
